,사용일자,버스,지하철,버스비율,지하철비율
144,2020-10-05,27104330,36711977.0,0.4247242009789128,0.5752757990210872
145,2020-10-12,29882495,41257255.0,0.42005341598754564,0.5799465840124544
146,2020-10-19,30421574,42336934.0,0.41811706749126853,0.5818829325087315
147,2020-10-26,30456041,42694498.0,0.4163474584924111,0.5836525415075889
148,2020-11-02,30604583,42995500.0,0.4158226696565003,0.5841773303434997
149,2020-11-09,30655504,43176693.0,0.4152050899961706,0.5847949100038293
150,2020-11-16,29152166,40566616.0,0.41813934729955554,0.5818606527004445
151,2020-11-23,26481747,36743567.0,0.41884721996003055,0.5811527800399694
152,2020-11-30,25236202,35159606.0,0.4178469141434452,0.5821530858565548
153,2020-12-07,23565442,32965754.0,0.41685730477027233,0.5831426952297277
154,2020-12-14,22219093,30304080.0,0.42303409582661733,0.5769659041733827
155,2020-12-21,20500332,27718914.0,0.4251483318507303,0.5748516681492697
156,2020-12-28,19064812,25663911.0,0.42623197626276965,0.5737680237372303
157,2021-01-04,22544360,31936834.0,0.413800769491212,0.5861992305087881
158,2021-01-11,23591035,33614506.0,0.4123907332683035,0.5876092667316964
159,2021-01-18,24850739,35264791.0,0.41338301433922314,0.5866169856607768
160,2021-01-25,25284689,35946532.0,0.4129378540401799,0.5870621459598201
161,2021-02-01,26749533,37421118.0,0.4168499552856336,0.5831500447143664
162,2021-02-08,19987733,27884778.0,0.4175200461074624,0.5824799538925376
163,2021-02-15,26650400,38173502.0,0.4111199600418994,0.5888800399581007
164,2021-02-22,27645696,40032193.0,0.40848933689406297,0.591510663105937
165,2021-03-01,26054512,36715971.0,0.4150758565932972,0.5849241434067028
166,2021-03-08,28548820,41023579.0,0.41034692507872267,0.5896530749212773
167,2021-03-15,28431737,40961794.0,0.4097173985857558,0.5902826014142443
168,2021-03-22,28398592,40999337.0,0.40921382538663365,0.5907861746133664
169,2021-03-29,28560366,41091034.0,0.41004726394587904,0.5899527360541209
170,2021-04-05,28820934,41902398.0,0.40751663114515024,0.5924833688548498
171,2021-04-12,28177533,40538192.0,0.41005945873379057,0.5899405412662094
172,2021-04-19,28485424,41221089.0,0.4086479551774452,0.5913520448225548
173,2021-04-26,28528363,41263334.0,0.408764426519103,0.5912355734808971
174,2021-05-03,26647591,38254124.0,0.41058377270924196,0.589416227290758
175,2021-05-10,28582421,41335202.0,0.4088013833078965,0.5911986166921035
176,2021-05-17,27623279,39509809.0,0.4114704063665297,0.5885295936334702
177,2021-05-24,28887891,41481301.0,0.4105190095120035,0.5894809904879965
178,2021-05-31,28930287,41218205.0,0.4124149525552167,0.5875850474447832
179,2021-06-07,28981605,40931426.0,0.41453795645049346,0.5854620435495065
180,2021-06-14,29385876,41536186.0,0.41434040651553533,0.5856595934844647
181,2021-06-21,29800778,42368079.0,0.41293127311133665,0.5870687268886633
182,2021-06-28,29318414,41144020.0,0.41608574009805,0.58391425990195
183,2021-07-05,28741173,39273714.0,0.422571796671514,0.577428203328486
184,2021-07-12,25894058,34379533.0,0.42960868218387716,0.5703913178161228
185,2021-07-19,25812660,34167794.0,0.43035119407398953,0.5696488059260105
186,2021-07-26,25517461,33719295.0,0.43077073633134133,0.5692292636686587
187,2021-08-02,25266360,33474379.0,0.43013350581101817,0.5698664941889818
188,2021-08-09,26430820,35318030.0,0.42803744523177356,0.5719625547682264
189,2021-08-16,25381888,33502499.0,0.4310461447106514,0.5689538552893486
190,2021-08-23,27579160,36808480.0,0.42833003352817406,0.571669966471826
191,2021-08-30,27979513,37936484.0,0.4244722718826509,0.5755277281173491
192,2021-09-06,28769300,38800989.0,0.42576849123732474,0.5742315087626753
193,2021-09-13,29151819,39058506.0,0.4273813238684906,0.5726186761315094
194,2021-09-20,19958551,26737589.0,0.42741329368979963,0.5725867063102004
195,2021-09-27,28887061,39510867.0,0.42233824685449534,0.5776617531455046
196,2021-10-04,26639266,36719952.0,0.4204481501018526,0.5795518498981475
197,2021-10-11,27426874,38173965.0,0.418087244280519,0.581912755719481
198,2021-10-18,29150432,41352489.0,0.41346417405883085,0.5865358259411692
199,2021-10-25,29720831,42630383.0,0.4107855190930176,0.5892144809069825
